"","vec1","vec2","vec3","vec4","vec5"
"1",0.00377428951320624,-0.00326239033513076,0.00798285033333279,-0.0190665611404377,0.0100437662020347
"2",0.00403114723604325,0.000120572720567758,0.00193386462745515,0.00455861193007667,-0.00819753428373104
"3",-0.00643007923524408,0.000819509183994427,-0.00502247554000235,0.00417145914261763,-0.00824647617401908
"4",0.00228479154660377,NA,0.00419937544884519,NA,0.000336643404736492
"5",0.00459311117991135,NA,0.0063701514155472,NA,0.00378476152151919
"6",-0.00827905678469598,-0.00283245508619512,-0.00131864647096513,-0.00398379536424276,-0.0234573499260708
"7",-0.0023844993843678,0.00453287101998789,-0.00115930435791967,-0.00010417015460007,-0.00613303734785831
"8",-0.000929815724568073,-0.00201207311342078,-0.00249224774729662,0.00702941072272356,-0.00436193520673811
"9",-0.0134291617910165,NA,-0.00916984283399458,NA,-0.0163695999178692
"10",-0.00729913291186257,NA,-0.00742780444497093,NA,5.88022469933946e-05
"11",0.00337044709767831,-0.000622877775843911,0.0113039266202257,0.00282098914361928,0.00226729024389627
"12",0.00227390198888777,0.00466516433327335,-0.00335040731416747,-0.00545648823317979,NA
"13",0.000161506383523857,0,0.00341861055439274,0.0135479897104256,NA
"14",-0.00365378933223859,NA,-0.000929328146305863,NA,0.00377548038687614
"15",-0.00173946092641053,NA,0.000515945173845012,NA,0.00129326874678171
"16",-0.00575842378363767,-7.25900116469447e-05,-0.0092549904934085,-0.00142696703909895,-0.00560115150014617
"17",-0.00340470757277522,0.00202449403933969,-0.00666750666556304,0.00272277129196841,-0.019212260879053
"18",-0.000527788300921372,NA,-0.00679601367190763,-0.00858494972032986,-0.00576159539558851
"19",-0.00901132742615296,NA,-0.0018261578714025,NA,0.0111510676254625
"20",0.0016885116048595,NA,0.00443037683719538,NA,-0.0364127074175098
"21",0.00119723323939347,0.00113961507896398,-0.00200275044346654,0.0162980577440015,-0.00803047374893318
"22",-0.00318736707538569,-0.0120741510051134,0.00607668708798847,-0.000647839231090686,0.0118314007780445
"23",-0.0114054432797115,NA,0.000250951641826092,0.00542110113156458,-0.013488121882272
"24",0.00200734439984807,NA,0.00465129018516919,NA,0.0523040368134318
"25",-0.0281629986260867,NA,-0.00841384426872871,NA,-0.00250171748732697
"26",-0.00576625175629353,NA,-0.00276739446699459,-0.000181481422671936,0.00875229905164154
"27",-0.0103107320154816,NA,-0.00326353484877728,-0.00476944753515696,0.0219408505820784
"28",0.0105728054810506,NA,0.00763268268793205,0.00232157056657556,0.011070713726733
"29",-0.00701945293406503,NA,-0.00592201690865757,NA,0.00455612017457163
"30",-0.00731557949980122,NA,-0.00460011793185799,NA,0.000441604056096168
"31",0.0279962788491286,NA,0.0328390066767295,0.0125368744567451,0.00354258024993293
"32",0.0133041488232788,NA,0.00648543461776896,0.000816565900329635,0.011071505797343
"33",-0.00380023529604401,NA,0.00242678970043464,NA,0.00113376221001182
"34",-0.00749107253935577,NA,-0.010168393168895,NA,-0.0310207989191333
"35",-0.004433446945459,-0.00635261844567125,-0.00834506692829784,0.00147842385550057,0.00662961113643945
"36",0.00594672049471967,0.00177385018582132,0.000197511628453384,0.000353212543073411,-0.00754625329918746
"37",0.00285442320782536,-0.000734054564503595,0.00474089840195369,0.0113256073048911,-0.0180944333689563
"38",0.0101313464486896,NA,0.00256833349550156,NA,0.00215772438637885
"39",-0.00082725832788455,NA,0.00156448355668459,NA,0.00101777160298688
"40",-0.00547988035449798,-0.00302648714063913,-0.00577624545174338,0.00137155029696334,0.0157348292666253
"41",-0.00137386678627394,NA,0.000867815380628301,0.00920469797642909,-0.00474665094410476
"42",0.000622148841298298,NA,0.000137961085631133,0.00990630880648879,0.0111972963276017
"43",0.00710056249353563,NA,0.00627007399026702,NA,0.00468819744633464
"44",-0.00468512576627589,NA,-0.00309812627116912,NA,-0.00607770318200096
"45",-0.00413253757770349,-0.00644554584298085,-0.00090446586154691,-0.00117435350447348,-0.00513884299591361
"46",-0.00733808775874678,-0.0128088320936834,-0.00959614319356916,0.00251676097443898,-0.00698296869073722
"47",-0.00347910785835559,-0.00544132946479259,-0.00443196145117675,-0.00442152015079955,-0.00602445906590532
"48",-0.00281515783334108,NA,0.00640992954549979,NA,-0.0162084813303682
"49",-0.00534162285719297,NA,-0.00153502518544713,NA,0.0129566411797537
"50",-0.00842508778296747,-0.0024545551348103,0.00549841158185593,-0.00380532996804206,-0.00200543260761421
"51",-0.00954055340091919,-0.00829249314655645,-0.00590833334481289,-0.00121604217626547,-0.0125827449675526
"52",0.00359695736246302,0.00762494066433916,0.00189001804012889,0.00463733759723706,-0.00490149002026463
"53",-0.00121374171245314,NA,-0.0103195588761835,NA,NA
"54",-0.00844477425179591,NA,-0.00317687791075549,NA,NA
"55",-0.0117130128959353,-0.0145290374605134,-0.00973640168651002,-0.000290044233778985,-0.00841144275224437
"56",0.00247535020278988,0.00749401658941196,-0.0035383713257211,-0.00236336782667834,0.00127248897829269
"57",-0.00615529695603634,0.00355903181387518,NA,-0.00811999359638538,0.0110892265254172
"58",-0.00399922319218859,NA,NA,NA,0.000491530681090424
"59",0.0116044464151202,NA,0.00466845065342802,NA,-0.01822809487531
"60",0.00473973377211401,-0.0023663598931849,0.0105763205769804,0.00791055424744602,0.00133953974209611
